         101 function calls in 1.744 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    1.744    0.872 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/IPython/core/interactiveshell.py:3472(run_code)
        2    0.000    0.000    1.744    0.872 {built-in method builtins.exec}
        1    0.000    0.000    1.744    1.744 /var/folders/3x/7hfm4_jj7zl66x1wm_x_2f5h0000gn/T/ipykernel_53080/3871972712.py:4(<module>)
        1    0.028    0.028    1.744    1.744 /var/folders/3x/7hfm4_jj7zl66x1wm_x_2f5h0000gn/T/ipykernel_53080/776204648.py:4(simulate_physical_system_optimized)
        1    0.708    0.708    0.727    0.727 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/scipy/linalg/_basic.py:40(solve)
        4    0.608    0.152    0.608    0.152 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.608    0.608 <__array_function__ internals>:177(dot)
        3    0.332    0.111    0.332    0.111 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
        3    0.049    0.016    0.049    0.016 {method 'astype' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.019    0.009 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/scipy/_lib/_util.py:206(_asarray_validated)
        2    0.017    0.008    0.018    0.009 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/numpy/lib/function_base.py:562(asarray_chkfinite)
        2    0.000    0.000    0.002    0.001 {method 'all' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.002    0.001 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/numpy/core/_methods.py:61(_all)
        2    0.002    0.001    0.002    0.001 {method 'reduce' of 'numpy.ufunc' objects}
        2    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/codeop.py:142(__call__)
        1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/numpy/core/numeric.py:150(ones)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_2d)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
