         2344 function calls (2322 primitive calls) in 3.221 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    3.221    1.611 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/IPython/core/interactiveshell.py:3472(run_code)
        2    0.000    0.000    3.221    1.611 {built-in method builtins.exec}
        1    0.002    0.002    3.221    3.221 /var/folders/3x/7hfm4_jj7zl66x1wm_x_2f5h0000gn/T/ipykernel_53080/3628714565.py:4(<module>)
        1    0.047    0.047    3.219    3.219 /var/folders/3x/7hfm4_jj7zl66x1wm_x_2f5h0000gn/T/ipykernel_53080/2997250002.py:8(simulate_physical_system_parallel)
        1    0.000    0.000    2.184    2.184 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/joblib/parallel.py:1000(__call__)
      116    2.182    0.019    2.182    0.019 {method 'acquire' of '_thread.lock' objects}
       23    0.000    0.000    2.175    0.095 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/threading.py:540(wait)
       23    0.000    0.000    2.175    0.095 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/threading.py:270(wait)
        1    0.000    0.000    2.175    2.175 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/joblib/parallel.py:960(retrieve)
       10    0.000    0.000    2.175    0.218 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/pool.py:764(get)
       10    0.000    0.000    2.175    0.218 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/pool.py:761(wait)
        1    0.632    0.632    0.649    0.649 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/scipy/linalg/_basic.py:40(solve)
        3    0.256    0.085    0.256    0.085 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
        3    0.065    0.022    0.065    0.022 {method 'astype' of 'numpy.ndarray' objects}
     18/5    0.018    0.001    0.018    0.004 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.018    0.018 <__array_function__ internals>:177(vstack)
        1    0.000    0.000    0.018    0.018 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/numpy/core/shape_base.py:223(vstack)
        1    0.000    0.000    0.018    0.018 <__array_function__ internals>:177(concatenate)
        2    0.000    0.000    0.017    0.009 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/scipy/_lib/_util.py:206(_asarray_validated)
        2    0.017    0.008    0.017    0.009 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/numpy/lib/function_base.py:562(asarray_chkfinite)
        1    0.000    0.000    0.007    0.007 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/joblib/parallel.py:797(_terminate_backend)
        1    0.000    0.000    0.007    0.007 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/joblib/_parallel_backends.py:239(terminate)
        3    0.000    0.000    0.007    0.002 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/util.py:205(__call__)
        1    0.000    0.000    0.007    0.007 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/pool.py:651(terminate)
        1    0.000    0.000    0.007    0.007 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/pool.py:677(_terminate_pool)
